product_id,product_name,category,price,supplier,created_at
P000001,Mouse,Sports,880.07,UK Wholesale,2026-08-16 11:23:45.342132
P000002,Keyboard,Sports,380.98,TechSupply Ltd,2026-08-16 11:23:45.342138
P000003,T-Shirt,Clothing,592.53,Global Supplies,2026-08-16 11:23:45.342141
P000004,Smartphone,Books,528.62,TechSupply Ltd,2026-08-16 11:23:45.342142
P000005,Running Shoes,Beauty,226.95,HomeGoods Ltd,2026-08-16 11:23:45.342144
P000006,T-Shirt,Clothing,879.96,Global Supplies,2026-08-16 11:23:45.342146
P000007,Laptop,Electronics,259.2,TechSupply Ltd,2026-08-16 11:23:45.342147
P000008,Laptop,Books,130.04,UK Wholesale,2026-08-16 11:23:45.342149
P000009,Keyboard,Home,352.94,TechSupply Ltd,2026-08-16 11:23:45.342151
P000010,T-Shirt,Books,869.35,TechSupply Ltd,2026-08-16 11:23:45.342152
P000011,Coffee Mug,Beauty,388.79,Global Supplies,2026-08-16 11:23:45.342154
P000012,Monitor,Beauty,710.98,TechSupply Ltd,2026-08-16 11:23:45.342159
P000013,Keyboard,Clothing,506.34,Global Supplies,2026-08-16 11:23:45.342160
P000014,Keyboard,Home,515.6,UK Wholesale,2026-08-16 11:23:45.342162
P000015,Backpack,Sports,87.52,Global Supplies,2026-08-16 11:23:45.342163
P000016,T-Shirt,Books,740.63,HomeGoods Ltd,2026-08-16 11:23:45.342165
P000017,Monitor,Clothing,451.22,Global Supplies,2026-08-16 11:23:45.342166
P000018,Keyboard,Home,77.3,TechSupply Ltd,2026-08-16 11:23:45.342168
P000019,Laptop,Home,520.22,TechSupply Ltd,2026-08-16 11:23:45.342169
P000020,Running Shoes,Beauty,618.57,UK Wholesale,2026-08-16 11:23:45.342170
P000021,Laptop,Clothing,656.19,HomeGoods Ltd,2026-08-16 11:23:45.342172
P000022,Headphones,Beauty,177.03,TechSupply Ltd,2026-08-16 11:23:45.342173
P000023,Coffee Mug,Sports,343.15,HomeGoods Ltd,2026-08-16 11:23:45.342175
P000024,Backpack,Electronics,196.8,Global Supplies,2026-08-16 11:23:45.342177
P000025,Headphones,Clothing,862.67,HomeGoods Ltd,2026-08-16 11:23:45.342179
P000026,Keyboard,Home,135.64,HomeGoods Ltd,2026-08-16 11:23:45.342181
P000027,Laptop,Books,635.73,TechSupply Ltd,2026-08-16 11:23:45.342182
P000028,Backpack,Electronics,543.38,UK Wholesale,2026-08-16 11:23:45.342184
P000029,T-Shirt,Electronics,204.56,TechSupply Ltd,2026-08-16 11:23:45.342185
P000030,Smartphone,Home,125.73,Global Supplies,2026-08-16 11:23:45.342186
P000031,Headphones,Beauty,286.02,UK Wholesale,2026-08-16 11:23:45.342189
P000032,Backpack,Home,37.72,TechSupply Ltd,2026-08-16 11:23:45.342190
P000033,Keyboard,Sports,853.09,TechSupply Ltd,2026-08-16 11:23:45.342192
P000034,Monitor,Home,468.99,Global Supplies,2026-08-16 11:23:45.342193
P000035,T-Shirt,Books,112.78,TechSupply Ltd,2026-08-16 11:23:45.342195
P000036,T-Shirt,Clothing,754.8,TechSupply Ltd,2026-08-16 11:23:45.342196
P000037,Running Shoes,Books,756.2,HomeGoods Ltd,2026-08-16 11:23:45.342197
P000038,Smartphone,Electronics,772.31,Global Supplies,2026-08-16 11:23:45.342199
P000039,T-Shirt,Electronics,987.41,Global Supplies,2026-08-16 11:23:45.342200
P000040,Monitor,Sports,119.04,TechSupply Ltd,2026-08-16 11:23:45.342202
P000041,Backpack,Electronics,276.46,TechSupply Ltd,2026-08-16 11:23:45.342204
P000042,Running Shoes,Clothing,258.47,HomeGoods Ltd,2026-08-16 11:23:45.342206
P000043,Keyboard,Clothing,159.69,UK Wholesale,2026-08-16 11:23:45.342207
P000044,Mouse,Books,276.99,HomeGoods Ltd,2026-08-16 11:23:45.342209
P000045,T-Shirt,Books,798.85,UK Wholesale,2026-08-16 11:23:45.342210
P000046,Monitor,Books,876.54,UK Wholesale,2026-08-16 11:23:45.342211
P000047,Coffee Mug,Home,582.71,Global Supplies,2026-08-16 11:23:45.342213
P000048,Keyboard,Home,560.3,TechSupply Ltd,2026-08-16 11:23:45.342214
P000049,Running Shoes,Clothing,512.46,UK Wholesale,2026-08-16 11:23:45.342216
P000050,Monitor,Books,399.29,TechSupply Ltd,2026-08-16 11:23:45.342217
P000051,Laptop,Books,755.87,Global Supplies,2026-08-16 11:23:45.342219
P000052,Laptop,Home,766.76,UK Wholesale,2026-08-16 11:23:45.342221
P000053,Laptop,Sports,207.89,Global Supplies,2026-08-16 11:23:45.342222
P000054,T-Shirt,Books,816.28,HomeGoods Ltd,2026-08-16 11:23:45.342224
P000055,Mouse,Books,491.8,UK Wholesale,2026-08-16 11:23:45.342225
P000056,Mouse,Clothing,893.74,UK Wholesale,2026-08-16 11:23:45.342227
P000057,Keyboard,Electronics,679.71,UK Wholesale,2026-08-16 11:23:45.342228
P000058,Monitor,Clothing,135.09,TechSupply Ltd,2026-08-16 11:23:45.342229
P000059,Smartphone,Clothing,737.53,UK Wholesale,2026-08-16 11:23:45.342231
P000060,Smartphone,Sports,752.6,UK Wholesale,2026-08-16 11:23:45.342232
P000061,T-Shirt,Beauty,839.61,TechSupply Ltd,2026-08-16 11:23:45.342234
P000062,Coffee Mug,Sports,25.3,UK Wholesale,2026-08-16 11:23:45.342235
P000063,Running Shoes,Home,199.53,TechSupply Ltd,2026-08-16 11:23:45.342237
P000064,Laptop,Clothing,641.86,Global Supplies,2026-08-16 11:23:45.342238
P000065,Coffee Mug,Books,795.67,Global Supplies,2026-08-16 11:23:45.342239
P000066,Smartphone,Sports,111.66,Global Supplies,2026-08-16 11:23:45.342241
P000067,Running Shoes,Books,877.51,Global Supplies,2026-08-16 11:23:45.342242
P000068,Smartphone,Beauty,753.26,Global Supplies,2026-08-16 11:23:45.342244
P000069,Coffee Mug,Home,614.33,UK Wholesale,2026-08-16 11:23:45.342245
P000070,Headphones,Sports,334.17,HomeGoods Ltd,2026-08-16 11:23:45.342248
P000071,Coffee Mug,Sports,663.11,TechSupply Ltd,2026-08-16 11:23:45.342249
P000072,Headphones,Beauty,640.65,Global Supplies,2026-08-16 11:23:45.342251
P000073,Backpack,Electronics,188.41,HomeGoods Ltd,2026-08-16 11:23:45.342252
P000074,Headphones,Books,445.76,Global Supplies,2026-08-16 11:23:45.342253
P000075,Mouse,Sports,12.61,UK Wholesale,2026-08-16 11:23:45.342255
P000076,Keyboard,Home,315.22,HomeGoods Ltd,2026-08-16 11:23:45.342256
P000077,Headphones,Beauty,273.4,TechSupply Ltd,2026-08-16 11:23:45.342258
P000078,Monitor,Sports,101.19,UK Wholesale,2026-08-16 11:23:45.342260
P000079,Monitor,Sports,275.19,Global Supplies,2026-08-16 11:23:45.342261
P000080,Keyboard,Sports,62.84,HomeGoods Ltd,2026-08-16 11:23:45.342263
P000081,T-Shirt,Home,76.23,UK Wholesale,2026-08-16 11:23:45.342264
P000082,Laptop,Electronics,142.98,TechSupply Ltd,2026-08-16 11:23:45.342266
P000083,Headphones,Books,573.96,HomeGoods Ltd,2026-08-16 11:23:45.342267
